longitude;latitude
-73.926487;40.8773096
-73.9233971;40.8773096
-73.9206505;40.8745838
-73.913269;40.8736752
-73.9100075;40.8710791
-73.915329;40.862944
-73.9190197;40.8592115
-73.9223671;40.8552407
-73.927803;40.8477529
-73.9296055;40.8455778
-73.9313364;40.8413465
-73.9344692;40.8355348
-73.9350557;40.8322336
-73.9346981;40.8284885
-73.933897;40.8225133
-73.9337397;40.8145887
-73.9341974;40.8111458
-73.9336109;40.8077027
-73.9301491;40.8035015
-73.9283466;40.8019422
-73.9256859;40.8018122
-73.9221239;40.8016823
-73.9212227;40.8006752
-73.9200211;40.7990184
-73.9181328;40.798347
-73.9171028;40.7976972
-73.9158154;40.79682
-73.9146996;40.7957804
-73.9138412;40.7947408
-73.9023685;40.7914051
-73.8888931;40.7834444
-73.8758469;40.7840943
-73.8669205;40.789943
-73.8553619;40.796441
-73.8373375;40.7976106
-73.8277245;40.7973507
-73.8212013;40.8009892
-73.8161659;40.8005561
-73.8129044;40.798217
-73.8012314;40.7965277
-73.7948799;40.795618
-73.7820053;40.7973074
-73.7742233;40.829571
-73.7539673;40.8584
-73.7680435;40.8674877
-73.7829209;40.8797324
-73.8455772;40.896949
-73.8457489;40.9044745
-73.852787;40.9081072
-73.8673782;40.9033068
-73.9108086;40.9160205
-73.9173317;40.8962137
-73.926487;40.8773096
