longitude;latitude
-73.8809967;40.5722401
-73.8552475;40.5914484
-73.8312149;40.6102168
-73.838768;40.6407041
-73.8579941;40.6417462
-73.8593674;40.6456538
-73.8535309;40.6563333
-73.8695526;40.6933077
-73.8897514;40.6853677
-73.9043427;40.7028084
-73.9185905;40.7110065
-73.9241982;40.7203745
-73.9243698;40.7238872
-73.9300346;40.7281152
-73.9363861;40.7297413
-73.9380741;40.7307386
-73.939333;40.7319743
-73.9425659;40.7363102
-73.9536953;40.739692
-73.9566708;40.7397353
-73.9601612;40.7384347
-73.9643097;40.7345976
-73.9639664;40.7257519
-73.9716339;40.7112667
-73.980217;40.7058014
-73.9897156;40.7058882
-73.9990997;40.7030253
-74.0087128;40.6874071
-74.0272522;40.6764721
-74.0485382;40.6280245
-74.012146;40.5628513
-73.8809967;40.5722401
