longitude;latitude
-74.0286255;40.6803777
-74.0180969;40.6829378
-74.010973;40.6863223
-74.0030479;40.6990777
-73.9963531;40.7045869
-73.9892578;40.7064304
-73.9819336;40.7067557
-73.9718914;40.7098571
-73.9650822;40.7239956
-73.9655685;40.7404507
-73.9547825;40.7526105
-73.9387321;40.7702285
-73.9389038;40.7743885
-73.9355278;40.7792416
-73.9279175;40.7789383
-73.9180756;40.7853507
-73.9096642;40.7935603
-73.913784;40.7960945
-73.9167881;40.7975889
-73.9197922;40.7989534
-73.9210796;40.8010326
-73.923068;40.8024457
-73.9252853;40.8023915
-73.9269733;40.8023157
-73.9296627;40.8051907
-73.9327526;40.8090886
-73.9324093;40.8204998
-73.9336109;40.832515
-73.9331818;40.8356322
-73.9285469;40.8444632
-73.924284;40.8510424
-73.9213371;40.8549377
-73.9177322;40.8584217
-73.9105225;40.866341
-73.9091492;40.8712738
-73.9097786;40.8731127
-73.9114952;40.8744973
-73.9184475;40.8758818
-73.9237404;40.8788238
-73.9393616;40.877699
-73.9670563;40.8202183
-74.012146;40.761821
-74.0327454;40.6857149
-74.0286255;40.6803777
