longitude;latitude
-74.1573715;40.6402699
-74.1233826;40.6426146
-74.1123962;40.6462616
-74.1064739;40.6482153
-74.0967751;40.6473036
-74.0792656;40.6526434
-74.0610695;40.6683566
-74.0657043;40.6772099
-74.0588379;40.6894463
-74.0401268;40.6939585
-74.0270233;40.7082305
-74.0245056;40.7230199
-74.0148926;40.7538458
-73.9858246;40.7971774
-73.9702606;40.8158879
-73.9596748;40.8362383
-73.9362716;40.8797756
-74.0310287;40.8982033
-74.0742874;40.8659299
-74.1626358;40.758527
-74.1838074;40.736592
-74.2502975;40.6742155
-74.1573715;40.6402699
