longitude;latitude
-73.7544251;40.5913615
-73.7958527;40.58719
-73.8368225;40.5762387
-73.8906097;40.5614602
-73.9391327;40.5428521
-73.9473725;40.5732833
-74.0002442;40.5706754
-74.011631;40.5749348
-74.0195274;40.6034834
-74.0302849;40.6042653
-74.041214;40.6170798
-74.0417862;40.6290667
-74.0369797;40.6411383
-74.0226746;40.6554651
-74.005394;40.6658826
-74.0110016;40.6641465
-74.0192413;40.6787287
-74.0074539;40.6883182
-73.9963531;40.7034157
-74.000988;40.7068425
-74.0107727;40.7008997
-74.0159225;40.7007262
-74.0190124;40.7050207
-74.0164947;40.7177724
-74.0111733;40.7286138
-74.0089416;40.7527622
-73.9699173;40.8066633
-73.9580154;40.8245484
-73.9460564;40.8432945
-73.9619637;40.8489216
-73.9760399;40.8190491
-74.0009308;40.7845708
-74.0226746;40.758657
-74.0297699;40.7329066
-74.0344048;40.7059316
-74.0544891;40.6913553
-74.0635872;40.6946092
-74.0690804;40.6903141
-74.0695953;40.6836755
-74.0752602;40.6757344
-74.0649033;40.6693114
-74.070797;40.6605004
-74.0859032;40.6662299
-74.090023;40.6629746
-74.0879631;40.6552915
-74.0845299;40.6543799
-74.0851021;40.6483455
-74.0789223;40.6479548
-74.0705109;40.6436566
-74.0696526;40.6405305
-74.072628;40.6403134
-74.0724564;40.6265045
-74.0697098;40.6211191
-74.063015;40.6158202
-74.0548897;40.6063506
-74.0535164;40.5999643
-74.1391754;40.5278922
-74.2153931;40.4908263
-74.1913605;40.4636663
-74.1034698;40.4657559
-74.0821838;40.4500822
-74.0402985;40.4882152
-73.9645386;40.4831669
-73.9242554;40.3311916
-73.9727783;40.1746763
-73.258667;40.1284911
-73.2888794;40.561808
-73.7091064;40.5325894
-73.7530517;40.5492873
-73.7544251;40.5913615
